MUNICIPIOS;Cultura;Tipo;Ano;Nº  PRODUTORES;PRODUÇÃO COLHIDA (t);ÁREA COLHIDA (ha);PREÇO   (R$/KG);PRODUTIVIDADE    (t/ha);FATURAMENTO BRUTO(R$)
Duas Barras ;Abacate;Fruticultura;2019;27;23.6;1.4;1.4697;16.86;34.685.00
Rio de Janeiro ;Abacate;Fruticultura;2019;28;122.19;16.18;1.1493;7.55;140.429.40
Trajano de Morais ;Abacate;Fruticultura;2019;10;30;2;1.6;15;48.000.00
Varre-Sai ;Abacate;Fruticultura;2019;1;21;9;2;2.33;42.000.00
Cachoeiras de Macacu ;Abacaxi;Fruticultura;2019;2;22.5;0.8;0.8;28.13;18.000.00
Campos dos Goytacases ;Abacaxi;Fruticultura;2019;197;4.710.00;242;1.3866;19.46;6.530.750.00
São Francisco de Itabapoana ;Abacaxi;Fruticultura;2019;409;101.780.00;4.056.00;1.1704;25.09;119.120.000.00
São João da Barra ;Abacaxi;Fruticultura;2019;141;9.371.00;304;1.6156;30.83;15.139.890.00
São Pedro da Aldeia ;Abacaxi;Fruticultura;2019;2;49;2.25;1.9347;21.78;94.800.00
Silva Jardim ;Abacaxi;Fruticultura;2019;9;114;7;2.4123;16.29;275.000.00
Araruama ;Acerola;Fruticultura;2019;5;22.65;3.5;1.15;6.47;26.047.50
Cachoeiras de Macacu ;Acerola;Fruticultura;2019;1;4.8;2.5;10;1.92;48.000.00
Angra dos Reis ;Banana;Fruticultura;2019;33;204;26.5;3.5;7.7;714.000.00
Areal ;Banana;Fruticultura;2019;2;48.34;6.27;1.7286;7.71;83.559.60
Barra do Pirai ;Banana;Fruticultura;2019;6;71.65;6;2.964;11.94;212.369.00
Cambuci ;Banana;Fruticultura;2019;30;778;40;1.3465;19.45;1.047.550.00
Casimiro de Abreu ;Banana;Fruticultura;2019;112;1.690.00;180;1.2379;9.39;2.092.000.00
Comendador Levy Gasparian ;Banana;Fruticultura;2019;3;48.39;6.2;1.689;7.8;81.730.80
Conceição de Macabu ;Banana;Fruticultura;2019;17;113;12.5;2.1615;9.04;244.250.00
Guapimirim ;Banana;Fruticultura;2019;40;1.196.00;167;1.5568;7.16;1.861.900.00
Itaboraí ;Banana;Fruticultura;2019;14;302.26;27.9;0.9883;10.83;298.710.00
Itaguaí ;Banana;Fruticultura;2019;80;1.840.00;320;1.481;5.75;2.725.000.00
Italva ;Banana;Fruticultura;2019;10;222;25;1.2832;8.88;284.860.00
Laje do Muriae ;Banana;Fruticultura;2019;2;9.5;0.8;1.8947;11.88;18.000.00
Macaé ;Banana;Fruticultura;2019;10;542.9;30;2.1336;18.1;1.158.332.00
Magé ;Banana;Fruticultura;2019;24;436;61;1.9388;7.15;845.300.00
Maricá ;Banana;Fruticultura;2019;9;114.5;10.5;0.8886;10.9;101.750.00
Mendes ;Banana;Fruticultura;2019;5;80.35;12;2.8007;6.7;225.037.50
Miracema ;Banana;Fruticultura;2019;6;249.24;28.08;2.4401;8.88;608.174.50
Natividade ;Banana;Fruticultura;2019;1;6.53;1;1.4234;6.53;9.295.00
Paracambi ;Banana;Fruticultura;2019;60;436.5;65;2.1993;6.72;960.000.00
Paraty ;Banana;Fruticultura;2019;280;1.439.00;180;5.0651;7.99;7.288.700.00
Petrópolis ;Banana;Fruticultura;2019;31;218.5;18.9;1.7068;11.56;372.925.00
Porciúncula ;Banana;Fruticultura;2019;18;287;16;1.0333;17.94;296.550.00
Porto Real ;Banana;Fruticultura;2019;4;73.8;11.5;3.3169;6.42;244.785.00
Quatis ;Banana;Fruticultura;2019;4;73;12;2.7627;6.08;201.675.00
Rio das Flores ;Banana;Fruticultura;2019;4;18.15;1.4;1.7076;12.96;30.992.50
Rio das Ostras ;Banana;Fruticultura;2019;7;33.2;10.2;1.8438;3.25;61.213.00
Santo Antônio de Pádua ;Banana;Fruticultura;2019;22;140.4;13;2.0692;10.8;290.520.00
São Fidélis ;Banana;Fruticultura;2019;33;138.72;21.28;0.677;6.52;93.911.50
Seropédica ;Banana;Fruticultura;2019;129;2.997.00;727;0.9914;4.12;2.971.150.00
Tanguá ;Banana;Fruticultura;2019;12;120.9;10;1.0382;12.09;125.515.00
Três Rios ;Banana;Fruticultura;2019;4;41.82;4.6;1.7319;9.09;72.427.40
