Mês;Ano;Valor
jan;2016;4977580008
jan;2017;5865462230
jan;2018;6168389854
jan;2019;6432762406
jan;2020;5748345123
fev;2016;6710088306
fev;2017;5927150746
fev;2018;6273177860
fev;2019;6839739474
fev;2020;6285812626
mar;2016;8345670154
mar;2017;8727095976
mar;2018;9123598245
mar;2019;8200196817
mar;2020;8996564964
abr;2016;8074601382
abr;2017;8661057630
abr;2018;8786441316
abr;2019;8179762492
abr;2020;9744295427
mai;2016;8584918480
mai;2017;9680247225
mai;2018;9968051727
mai;2019;9264581346
mai;2020;10421577812
jun;2016;8310360901
jun;2017;9270010706
jun;2018;9155452947
jun;2019;8168586831
jun;2020;9693784106
jul;2016;7810521847
jul;2017;8254139304
jul;2018;9491377869
jul;2019;8966466836
jul;2020;9758617210
ago;2016;7630132008
ago;2017;9038286417
ago;2018;9288370015
ago;2019;8259410479
ago;2020;8619778380
set;2016;6918587450
set;2017;8551197680
set;2018;8063733393
set;2019;8167010232
set;2020;8390267660
out;2016;5737896767
out;2017;8021791099
out;2018;8345564635
out;2019;8724465638
out;2020;8181028442
nov;2016;5727620811
nov;2017;7077965197
nov;2018;8128185940
nov;2019;8056991131
dez;2016;6109428253
dez;2017;6939846404
dez;2018;8374961406
dez;2019;7590650678
