Mês;Ano;Valor
January;2016;4977580008
February;2016;5927150746
March;2016;8345670154
April;2016;8074601382
May;2016;8584918480
June;2016;8310360901
July;2016;7810521847
August;2016;7630132008
September;2016;6918587450
October;2016;5737896767
November;2016;5727620811
December;2016;6109428253
January;2017;5865462230
February;2017;5927150746
March;2017;8727095976
April;2017;8661057630
May;2017;9680247225
June;2017;9270010706
July;2017;8254139304
August;2017;9038286417
September;2017;8551197680
October;2017;8021791099
November;2017;7077965197
December;2017;6939846404
January;2018;6168389854
February;2018;6273177860
March;2018;9123598245
April;2018;8786441316
May;2018;9968051727
June;2018;9155452947
July;2018;9491377869
August;2018;9288370015
September;2018;8063733393
October;2018;8345564635
November;2018;8128185940
December;2018;8374961406
January;2019;6432762406
February;2019;6839739474
March;2019;8200196817
April;2019;8179762492
May;2019;9264581346
June;2019;8168586831
July;2019;8966466836
August;2019;8259410479
September;2019;8167010232
October;2019;8724465638
November;2019;8056991131
December;2019;7590650678
January;2020;5748345123
February;2020;6285812626
March;2020;8996564964
April;2020;9744295427
May;2020;10421577812
June;2020;9693784106
July;2020;9758617210
August;2020;8619778380
September;2020;8390267660
October;2020;8181028442
