Ano;Exportação;Importação
2020;85840071750;10383451355
2019;96850624360;13768880304
2018;101167305207;14037591057
2017;96014250614;14153010993
2016;84937406367;13627600486
2015;88168172194;13072421212
2014;96659151803;16613144147
2013;99932843060;17059790873
2012;95748843123;16408666471
2011;94916713269;17507585576
2010;76395921327;13398111966
2009;64741172917;9900016864
2008;71747138356;11880391567
2007;58358334415;8687457475
2006;49416495515;6648338376
2005;43585849062;5070081762
2004;38922873225;4802227030
2003;30608307516;4724714342
2002;24811600651;4424796048
2001;23828265867;4774512879
2000;20576663042;5739129767
1999;20470203868;5649142048
1998;21524762386;7986798392
1997;23343712330;8107382443
