Mês;IPA-M do Mês;IPA-M acumulado do Ano
dez/13;0.6300;51.233
nov/13;0.1700;44.652
out/13;10.900;42.879
set/13;21.100;31.634
ago/13;0.1400;10.316
jul/13;0.3000;0.8904
jun/13;0.6800;0.5886
mai/13;-0.3000;-0.0908
abr/13;-0.1200;0.2099
mar/13;0.0100;0.3303
fev/13;0.2100;0.3202
jan/13;0.1100;0.1100
dez/14;0.6300;21.347
nov/14;12.600;14.952
out/14;0.2300;0.2323
set/14;0.1300;0.0023
ago/14;-0.4500;-0.1275
jul/14;-11.100;0.3239
jun/14;-14.400;14.500
mai/14;-0.6500;29.322
abr/14;0.7900;36.057
mar/14;22.000;27.936
fev/14;0.2700;0.5808
jan/14;0.3100;0.3100
dez/15;0.3900;111.919
nov/15;19.300;107.599
out/15;26.300;86.627
set/15;13.000;58.781
ago/15;0.2000;45.194
jul/15;0.7300;43.107
jun/15;0.4100;35.548
mai/15;0.3000;31.319
abr/15;14.100;28.235
mar/15;0.9200;13.938
fev/15;-0.0900;0.4695
jan/15;0.5600;0.5600
dez/16;0.6900;76.270
nov/16;-0.1600;68.895
out/16;0.1500;70.608
set/16;0.1800;69.004
ago/16;0.0400;67.083
jul/16;-0.0100;66.657
jun/16;22.100;66.763
mai/16;0.9800;43.698
abr/16;0.2900;33.569
mar/16;0.4400;30.580
fev/16;14.500;26.065
jan/16;11.400;11.400
dez/17;12.400;-25.448
nov/17;0.6600;-37.384
out/17;0.1600;-43.696
set/17;0.7400;-45.223
ago/17;-0.0500;-52.237
jul/17;-11.600;-51.763
jun/17;-12.200;-40.634
mai/17;-15.600;-28.785
abr/17;-17.700;-13.394
mar/17;-0.1700;0.4383
fev/17;-0.0900;0.6094
jan/17;0.7000;0.7000
dez/18;-16.700;94.176
nov/18;-0.8100;112.759
out/18;11.100;121.846
set/18;21.900;109.531
ago/18;10.000;85.753
jul/18;0.5000;75.003
jun/18;23.300;69.654
mai/18;19.700;45.299
abr/18;0.7100;25.104
mar/18;0.8900;17.877
fev/18;-0.0200;0.8898
jan/18;0.9100;0.9100
dez/19;28.400;90.917
nov/19;0.3600;60.791
out/19;10.200;56.986
set/19;-0.0900;46.313
ago/19;-11.400;47.256
jul/19;0.4000;59.332
jun/19;11.600;55.112
mai/19;0.5400;43.013
abr/19;10.700;37.411
mar/19;16.700;26.428
fev/19;12.200;0.9568
jan/19;-0.2600;-0.2600
ago/20;37.400;134.373
jul/20;30.000;93.477
jun/20;22.500;61.628
mai/20;0.5900;38.267
abr/20;11.200;32.177
mar/20;17.600;20.745
fev/20;-0.1900;0.3090
jan/20;0.5000;0.5000
