Mês;IPCA-M do Mês;IPCA-M acumulado do Ano
dez/13;0.6300;5.1233
nov/13;0.1700;4.4652
out/13;1.0900;4.2879
set/13;2.1100;3.1634
ago/13;0.1400;1.0316
jul/13;0.3000;0.8904
jun/13;0.6800;0.5886
mai/13;-0.3000;-0.0908
abr/13;-0.1200;0.2099
mar/13;0.0100;0.3303
fev/13;0.2100;0.3202
jan/13;0.1100;0.1100
dez/14;0.6300;2.1347
nov/14;1.2600;1.4952
out/14;0.2300;0.2323
set/14;0.1300;0.0023
ago/14;-0.4500;-0.1275
jul/14;-1.1100;0.3239
jun/14;-1.4400;1.4500
mai/14;-0.6500;2.9322
abr/14;0.7900;3.6057
mar/14;2.2000;2.7936
fev/14;0.2700;0.5808
jan/14;0.3100;0.3100
dez/15;0.3900;11.1919
nov/15;1.9300;10.7599
out/15;2.6300;8.6627
set/15;1.3000;5.8781
ago/15;0.2000;4.5194
jul/15;0.7300;4.3107
jun/15;0.4100;3.5548
mai/15;0.3000;3.1319
abr/15;1.4100;2.8235
mar/15;0.9200;1.3938
fev/15;-0.0900;0.4695
jan/15;0.5600;0.5600
dez/16;0.6900;7.6270
nov/16;-0.1600;6.8895
out/16;0.1500;7.0608
set/16;0.1800;6.9004
ago/16;0.0400;6.7083
jul/16;-0.0100;6.6657
jun/16;2.2100;6.6763
mai/16;0.9800;4.3698
abr/16;0.2900;3.3569
mar/16;0.4400;3.0580
fev/16;1.4500;2.6065
jan/16;1.1400;1.1400
dez/17;1.2400;-2.5448
nov/17;0.6600;-3.7384
out/17;0.1600;-4.3696
set/17;0.7400;-4.5223
ago/17;-0.0500;-5.2237
jul/17;-1.1600;-5.1763
jun/17;-1.2200;-4.0634
mai/17;-1.5600;-2.8785
abr/17;-1.7700;-1.3394
mar/17;-0.1700;0.4383
fev/17;-0.0900;0.6094
jan/17;0.7000;0.7000
dez/18;-1.6700;9.4176
nov/18;-0.8100;11.2759
out/18;1.1100;12.1846
set/18;2.1900;10.9531
ago/18;1.0000;8.5753
jul/18;0.5000;7.5003
jun/18;2.3300;6.9654
mai/18;1.9700;4.5299
abr/18;0.7100;2.5104
mar/18;0.8900;1.7877
fev/18;-0.0200;0.8898
jan/18;0.9100;0.9100
dez/19;2.8400;9.0917
nov/19;0.3600;6.0791
out/19;1.0200;5.6986
set/19;-0.0900;4.6313
ago/19;-1.1400;4.7256
jul/19;0.4000;5.9332
jun/19;1.1600;5.5112
mai/19;0.5400;4.3013
abr/19;1.0700;3.7411
mar/19;1.6700;2.6428
fev/19;1.2200;0.9568
jan/19;-0.2600;-0.2600
ago/20;3.7400;13.4373
jul/20;3.0000;9.3477
jun/20;2.2500;6.1628
mai/20;0.5900;3.8267
abr/20;1.1200;3.2177
mar/20;1.7600;2.0745
fev/20;-0.1900;0.3090
jan/20;0.5000;0.5000
