Indicadores;Estabelecimentos;Área total (ha)
Total;  1 006 203 ;  41 781 003 
Agricultura não familiar - 2017;   166 896 ;  28 610 996 
Agricultura familiar-LEI-11326 -2017;   839 307 ;  13 170 007 
Não pronafiano 2017;   181 138 ;  28 942 451 
PRONAF B 2017;   456 849 ;  5 209 263 
PRONAF V 2017;   368 216 ;  7 629 289 
Agricultura não familiar 2006;   156 510 ;  28 726 492 
Agricultura familiar (Lei 11326) 2006;   849 693 ;  13 054 511 
Agricultura não familiar 2006;   223 518 ;  30 040 757 
PRONAF A 2006;   60 982 ;   920 658 
PRONAF B 2006;   269 668 ;  2 670 529 
PRONAF C 2006;   266 742 ;  3 911 910 
PRONAF D 2006;   154 223 ;  3 238 170 
PRONAF E 2006;   31 070 ;   998 979 
