RELATÓRIO POR CULTURAS DO SISTEMA ASPA/AGROGEO-ANO2019;;;;;;
ESTADO DO RIO DE JANEIRO;;;;;;
;;;;;;
CULTURAS/MUNICIPIOS;Nº  PRODUTORES;PRODUÇÃO COLHIDA (t);ÁREA COLHIDA (ha);PREÇO   (R$/KG);PRODUTIVIDADE    (t/ha);FATURAMENTO BRUTO(R$)
GRUPO : Fruticultura;;;;;;
CULTURA : ABACATE;;;;;;
Duas Barras ;27;23,6;1,4;1,4697;16,86;34.685,00
Rio de Janeiro ;28;122,19;16,18;1,1493;7,55;140.429,40
Trajano de Morais ;10;30;2;1,6;15;48.000,00
Varre-Sai ;1;21;9;2;2,33;42.000,00
TOTAL ABACATE ;66;196,79;28,58;1,3472;6,89;265.114,40
CULTURA : ABACAXI;;;;;;
Cachoeiras de Macacu ;2;22,5;0,8;0,8;28,13;18.000,00
Campos dos Goytacases ;197;4.710,00;242;1,3866;19,46;6.530.750,00
São Francisco de Itabapoana ;409;101.780,00;4.056,00;1,1704;25,09;119.120.000,00
São João da Barra ;141;9.371,00;304;1,6156;30,83;15.139.890,00
São Pedro da Aldeia ;2;49;2,25;1,9347;21,78;94.800,00
Silva Jardim ;9;114;7;2,4123;16,29;275.000,00
TOTAL ABACAXI ;760;116.046,50;4.612,05;1,2166;25,16;141.178.440,00
CULTURA : ACEROLA;;;;;;
Araruama ;5;22,65;3,5;1,15;6,47;26.047,50
Cachoeiras de Macacu ;1;4,8;2,5;10;1,92;48.000,00
TOTAL ACEROLA ;6;27,45;6;2,6975;4,58;74.047,50
CULTURA : BANANA;;;;;;
Angra dos Reis ;33;204;26,5;3,5;7,7;714.000,00
Areal ;2;48,34;6,27;1,7286;7,71;83.559,60
Barra do Pirai ;6;71,65;6;2,964;11,94;212.369,00
Cambuci ;30;778;40;1,3465;19,45;1.047.550,00
Casimiro de Abreu ;112;1.690,00;180;1,2379;9,39;2.092.000,00
Comendador Levy Gasparian ;3;48,39;6,2;1,689;7,8;81.730,80
Conceição de Macabu ;17;113;12,5;2,1615;9,04;244.250,00
Guapimirim ;40;1.196,00;167;1,5568;7,16;1.861.900,00
Itaboraí ;14;302,26;27,9;0,9883;10,83;298.710,00
Itaguaí ;80;1.840,00;320;1,481;5,75;2.725.000,00
Italva ;10;222;25;1,2832;8,88;284.860,00
Laje do Muriae ;2;9,5;0,8;1,8947;11,88;18.000,00
Macaé ;10;542,9;30;2,1336;18,1;1.158.332,00
Magé ;24;436;61;1,9388;7,15;845.300,00
Maricá ;9;114,5;10,5;0,8886;10,9;101.750,00
Mendes ;5;80,35;12;2,8007;6,7;225.037,50
Miracema ;6;249,24;28,08;2,4401;8,88;608.174,50
Natividade ;1;6,53;1;1,4234;6,53;9.295,00
Paracambi ;60;436,5;65;2,1993;6,72;960.000,00
Paraty ;280;1.439,00;180;5,0651;7,99;7.288.700,00
Petrópolis ;31;218,5;18,9;1,7068;11,56;372.925,00
Porciúncula ;18;287;16;1,0333;17,94;296.550,00
Porto Real ;4;73,8;11,5;3,3169;6,42;244.785,00
Quatis ;4;73;12;2,7627;6,08;201.675,00
Rio das Flores ;4;18,15;1,4;1,7076;12,96;30.992,50
Rio das Ostras ;7;33,2;10,2;1,8438;3,25;61.213,00
Santo Antônio de Pádua ;22;140,4;13;2,0692;10,8;290.520,00
São Fidélis ;33;138,72;21,28;0,677;6,52;93.911,50
Seropédica ;129;2.997,00;727;0,9914;4,12;2.971.150,00
